ID,nomeArtistico,generoMusical,descricao,categoria,youtube,instagram,status,valorTipoEvento,endereco,notaMedia,QtdDeVotos,QtdDeEventosPresente,QtdDeStrike,SequenciaDeEventoSeguido,QtdDeVisualizacoes,QtdVisualizacoesSucesso
1,PlayBrega,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de ritmos nordestinos,Dupla,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",2,25,67,0,4,379,296
2,14 Bis,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Brega,Orquestra,https://www.youtube.com/watch?v=ysOhcVsqAUM&list=RDTMOke-IyDfU&index=3,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,47,61,0,4,455,270
3,365,"""[{ ""ID"" : 10, ""Tipo"" : ""Brega""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda anos 70,Dupla,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",1,65,164,0,3,390,371
4,A Chave do Sol,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda de ritmos nordestinos,Banda,https://www.youtube.com/watch?v=REUXbGaEl94&list=RDTMOke-IyDfU&index=10,https://www.instagram.com/kevinho/?hl=pt-br,Banido,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,61,137,3,4,230,212
5,Afrodite se Quiser,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda anos 70,Orquestra,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Desativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""50870000"", ""numero"": '18', ""logradouro"": ""Rua Capitão Antônio Vidal"", ""bairro"": ""Areias"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,67,163,0,4,295,206
6,Agridoce,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Baião,Dupla,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/kevinho/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54160180"", ""numero"": '500', ""logradouro"": ""Rua Açucena"", ""bairro"": ""Engenho Velho"", ""cidade"": ""Jaboatão dos Guararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",4,69,140,0,1,478,220
7,Angra,"""[{ ""ID"" : 10, ""Tipo"" : ""Brega""} , {""ID"" : 5, ""Tipo"" :  ""Instrumental""} , {""ID"" : 6, ""Tipo"" :  ""K-Pop""}]""",Banda de brega,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor'"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Comemoração "" , ""Valor"" :  ""R$  500.00"" }, { ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  500.00 ""},{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 '""}]""","""[{""cep"": ""1251216"", ""numero"": '85', ""logradouro"": ""Rua da paz"", ""bairro"": ""Recife Antigo"", ""cidade"": ""Recife"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,112,116,0,7,353,353
8,Anjos da Noite,"""[{""ID"" : 7,  ""Tipo"" : ""Arrocha""} , {""ID"" : 8, ""Tipo"" ,  ""Axé""},  {""ID"" : 9, ""Tipo"" :  ""Baião'""}]""",Banda Clássica,Dupla,https://www.youtube.com/watch?v=TMOke-IyDfU,https://www.instagram.com/palittointimistas/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 '""},{ ""Tipo"" : "" Casa de Show "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Evento Beneficente "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Formaturas "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Happy hour "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""54330212"", ""numero"": '311', ""logradouro"": ""Primeira Rua do Colégio"", ""bairro"": ""Prazeres"", ""cidade"": ""Jaboatão dos Guarararapes"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,28,160,1,7,198,181
9,Arnaldo Antunes,"""[{ ""ID"" : 1,  ""Tipo'"" : ""jazz"" }, {""ID"" : 2, ""Tipo'"" :  ""Blues""}, {""ID"" : 3, ""Tipo"" :  ""Bossa Nova""}]""",Banda de forró,Dupla,https://www.youtube.com/watch?v=2GsBx_SmjOI,https://www.instagram.com/caramelotdp/?hl=pt-br,Ativo,"""[{ ""Tipo"" : "" Apresentação em Bar "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Casamento "" . ""Valor"" :  ""R$  700.00 "" },{ ""Tipo"" : "" Coquetel "" , ""Valor"" :  ""R$  400.00"" },{ ""Tipo"" : ""Festa"" . ""Valor"" :  ""R$  300.00 "" },{ ""Tipo"" : ""Noivado""  , ""Valor"" :  ""R$  600.00"" }]""","""[{""cep"": ""53441301"", ""numero"": '31', ""logradouro"": ""Travessa Oitenta e Quatro"", ""bairro"": ""Maranguape I"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",5,82,125,1,4,311,155
10,Ave de Veludo,"""[{""ID"" : 4,  ""Tipo"" : ""Infantil""},  {""ID"" : 5, ""Tipo"" :  ""Instrumental""}, {""ID"" : 6 , ""Tipo"" :  ""K-Pop""}]""",Banda de Jazz,Banda,https://www.youtube.com/watch?v=2kqdlAYNEzk&list=RDTMOke-IyDfU&index=4,https://www.instagram.com/paulinhomenosemais/?hl=pt-br,Ativo,"""[{ ""Tipo"" : ""Apresentação em Restaurante "" , ""Valor"" :  ""R$  500.00 "" } , { ""Tipo"" : "" Batizado "" , ""Valor"" :  'R$  200.00 ' } , { ""Tipo"" : "" Evento Corporativo "" , ""Valor"" :  ""R$  800.00 "" } ,  { ""Tipo"" : "" Evento Religioso "" , ""Valor"" :  ""R$  500.00 "" },{ ""Tipo"" : "" Noivado "" , ""Valor"" :  ""R$  500.00 "" }]""","""[{""cep"": ""53404040"", ""numero"": '431', ""logradouro"": ""Rua Tuela"", ""bairro"": ""Tabajara"", ""cidade"": ""Paulista"", ""estado"": ""PE"", ""complemento"" : ""N\a""}]""",3,109,157,0,10,450,301
